Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
56,57,6,5,51,52,0,Train/0/00001_00000_00000.png
55,57,5,6,50,52,0,Train/0/00001_00000_00001.png
56,56,5,6,51,51,0,Train/0/00001_00000_00002.png
58,58,6,6,53,52,0,Train/0/00001_00000_00003.png
59,59,6,6,54,53,0,Train/0/00001_00000_00004.png
57,59,5,6,52,54,0,Train/0/00001_00000_00005.png
57,59,5,5,52,54,0,Train/0/00001_00000_00006.png
57,59,5,5,52,53,0,Train/0/00001_00000_00007.png
60,60,6,6,54,54,0,Train/0/00001_00000_00008.png
61,61,5,6,55,56,0,Train/0/00001_00000_00009.png
61,62,5,6,56,57,0,Train/0/00001_00000_00010.png
63,62,5,5,57,57,0,Train/0/00001_00000_00011.png
65,65,5,6,59,60,0,Train/0/00001_00000_00012.png
68,68,7,7,62,62,0,Train/0/00001_00000_00013.png
68,69,7,7,62,63,0,Train/0/00001_00000_00014.png
69,70,7,7,63,64,0,Train/0/00001_00000_00015.png
71,72,6,6,65,66,0,Train/0/00001_00000_00016.png
72,74,6,6,66,67,0,Train/0/00001_00000_00017.png
74,74,6,6,68,68,0,Train/0/00001_00000_00018.png
79,80,7,8,72,73,0,Train/0/00001_00000_00019.png
81,81,8,8,74,74,0,Train/0/00001_00000_00020.png
82,82,7,7,75,75,0,Train/0/00001_00000_00021.png
85,86,7,7,78,78,0,Train/0/00001_00000_00022.png
89,88,8,7,82,81,0,Train/0/00001_00000_00023.png
93,94,8,9,84,85,0,Train/0/00001_00000_00024.png
97,96,9,8,88,88,0,Train/0/00001_00000_00025.png
100,104,9,9,92,95,0,Train/0/00001_00000_00026.png
105,107,10,9,96,98,0,Train/0/00001_00000_00027.png
108,110,10,9,99,101,0,Train/0/00001_00000_00028.png
114,118,10,11,104,108,0,Train/0/00001_00000_00029.png
30,32,5,5,25,27,0,Train/0/00001_00001_00000.png
30,33,5,6,25,28,0,Train/0/00001_00001_00001.png
31,33,5,6,25,28,0,Train/0/00001_00001_00002.png
32,33,6,6,26,28,0,Train/0/00001_00001_00003.png
32,33,5,6,26,28,0,Train/0/00001_00001_00004.png
34,33,6,5,29,28,0,Train/0/00001_00001_00005.png
36,34,6,5,31,29,0,Train/0/00001_00001_00006.png
37,35,6,5,32,30,0,Train/0/00001_00001_00007.png
37,36,5,5,31,30,0,Train/0/00001_00001_00008.png
38,37,6,5,33,31,0,Train/0/00001_00001_00009.png
38,39,5,6,33,34,0,Train/0/00001_00001_00010.png
38,39,5,5,33,33,0,Train/0/00001_00001_00011.png
39,39,5,5,34,34,0,Train/0/00001_00001_00012.png
39,41,5,6,34,35,0,Train/0/00001_00001_00013.png
40,42,5,6,35,36,0,Train/0/00001_00001_00014.png
42,43,5,6,37,38,0,Train/0/00001_00001_00015.png
44,45,5,6,38,39,0,Train/0/00001_00001_00016.png
44,46,5,6,39,40,0,Train/0/00001_00001_00017.png
46,46,6,6,41,41,0,Train/0/00001_00001_00018.png
48,46,6,5,42,41,0,Train/0/00001_00001_00019.png
48,48,5,5,43,43,0,Train/0/00001_00001_00020.png
51,50,6,5,46,45,0,Train/0/00001_00001_00021.png
53,53,6,6,48,48,0,Train/0/00001_00001_00022.png
55,54,6,6,49,49,0,Train/0/00001_00001_00023.png
57,55,6,5,52,49,0,Train/0/00001_00001_00024.png
59,57,6,6,54,52,0,Train/0/00001_00001_00025.png
61,57,6,5,56,52,0,Train/0/00001_00001_00026.png
63,60,5,5,58,54,0,Train/0/00001_00001_00027.png
68,61,7,5,62,56,0,Train/0/00001_00001_00028.png
71,67,6,6,65,61,0,Train/0/00001_00001_00029.png
46,48,6,6,41,43,0,Train/0/00001_00002_00000.png
45,47,5,5,40,42,0,Train/0/00001_00002_00001.png
46,48,6,6,41,43,0,Train/0/00001_00002_00002.png
46,47,6,5,41,42,0,Train/0/00001_00002_00003.png
46,47,6,5,41,42,0,Train/0/00001_00002_00004.png
